,Critics Reviews,Rotten/Fresh
0,"Subtitled Murder, Mayhem and Madness, Tiger King delivers the latter two Ms in spades and it proves instantly gripping.",fresh
1,"...the documentary is too swept up by Exotic's point-scoring against Baskin, and loses sight of its original purpose, the animals supposedly at its centre.",rotten
2,"Enthralling in an aghast kind of way, like watching an accident in slow-mo - but not even that interesting an accident - a collision between two old milk floats, say, where you're just left with much broken glass and a rancid pungency.",rotten
3,"It's a highly watchable docu-series, with insights into the grandiose delusions of self-made celebrities in the internet age. The Tiger King and I... lets some of the doc's subjects keep soaking up attention... without any reasoned objections.",fresh
4,"The storyline is eye-poppingly bizarre, not to mention grotesque, but do I really need to endure more than the two episodes I've so far spent in the company of Joe Exotic, Doc Antle and other ghastly people?",rotten
5,"Just like Tiger King, The Tiger King and I is messy... But it rightfully shifts focus to the real heroes of the story - the underpaid zookeepers who seem to be the only people who actually care about the animals' wellbeing.",fresh
6,"As shocking and sobering as it is pure entertainment, Tiger King is must-see TV.",fresh
7,"I learned a few ugly yet important truths that make ""Tiger King"" worthwhile.",fresh
8,"Tiger King grabs your attention from the get-go and keeps you hooked with its constant refreshing of information, facts and conspiracy theories, some of which you'd dismiss as crazy were it not for the assurance that it's all true, more or less.",fresh
9,"There's nothing in directors' Eric Goode and Rebecca Chaiklin's seven-episode documentary series that would look out of place in American Vandal, the definitive true-crime documentary parody.",rotten
10,Tiger King is at its core a deeply stained product of an infotainment America where clown car drivers of both parties are at the helm of a clearly crashing caravan of state and a loose relationship with the truth and facts is a new normal.,rotten
11,"Sensational murder-for-hire docu is chaotic, profane.",fresh
12,"The series is a carnival sideshow not unlike Joe Exotic's central-Oklahoma park: You see the sign on the side of the road and you stop, not because you want to, necessarily, but because it's there.",rotten
13,WTF,fresh
14,"By deliberately seducing the viewer with an all-pervasive portrait of human nature, Tiger King proves that there's no bigger oxymoron in the English language than ""human nature"".",fresh
15,"Tiger King is not what I'd call nutritious viewing. Most of the people in it are horrible, though you may feel yourself drawn (as I did) to rooting for one abominable side over another. But the show is fascinatingly American.",fresh
16,"A weird mix of fortune, glory, death, secrets, and tigers in captivity. [Full review in Spanish].",fresh
17,"Tiger King is seven episodes of pure, chaotic fun. Having something new to watch, especially on a streamer that many people might consider a primary platform, feels like a luxury.",fresh
